subject,light_dist_cm,illuminance_rel,threshold,clahe,ref_path,test_path,ref_face_brightness,ref_face_contrast,ref_face_sharpness,ref_face_glare_ratio,ref_left_eye_glare,ref_right_eye_glare,ref_eye_glare_mean,ref_retinaface_score,ref_face_width_px,ref_face_height_px,ref_eye_distance_px,test_face_brightness,test_face_contrast,test_face_sharpness,test_face_glare_ratio,test_left_eye_glare,test_right_eye_glare,test_eye_glare_mean,test_retinaface_score,test_face_width_px,test_face_height_px,test_eye_distance_px,cosine_dist,norm_dist,margin,confidence_pct,processing_s,verified,false_reject,detect_failed,skip_reason
s05,120,0.5625,0.4,True,./data\s05\reference.jpeg,./data\s05\120cm.jpeg,127.73649954817382,41.19597558024332,213.27901775843247,0.0,0.0,0.0,0.0,0.9996447563171387,362,483,171.33946228027344,118.01421354568028,49.24561013280045,216.47032802737147,2.8541256386106115e-05,0.0,0.00125,0.000625,0.999508261680603,229,306,107.61324310302734,0.597767,1.4944,-0.197767,58.3,3.468,True,False,False,
s05,105,0.7347,0.4,True,./data\s05\reference.jpeg,./data\s05\105cm.jpeg,127.73649954817382,41.19597558024332,213.27901775843247,0.0,0.0,0.0,0.0,0.9996447563171387,362,483,171.33946228027344,133.55678013392858,43.26540139360805,104.75050837923338,0.0,0.0,0.0,0.0,0.9994696974754333,256,336,116.78649139404297,0.550316,1.3758,-0.150316,63.43,2.899,True,False,False,
s05,90,1.0,0.4,True,./data\s05\reference.jpeg,./data\s05\90cm.jpeg,127.73649954817382,41.19597558024332,213.27901775843247,0.0,0.0,0.0,0.0,0.9996447563171387,362,483,171.33946228027344,130.83557122173193,45.12779681712749,86.62877865564738,0.0,0.0,0.0,0.0,0.9995039701461792,296,392,137.2952880859375,0.514721,1.2868,-0.114721,67.55,3.13,True,False,False,
s05,75,1.44,0.4,True,./data\s05\reference.jpeg,./data\s05\75cm.jpeg,127.73649954817382,41.19597558024332,213.27901775843247,0.0,0.0,0.0,0.0,0.9996447563171387,362,483,171.33946228027344,134.98946165483835,49.43152476264925,94.0936954344184,0.0,0.0,0.0,0.0,0.9991476535797119,337,457,160.2165069580078,0.515595,1.289,-0.115595,67.45,3.118,True,False,False,
s05,60,2.25,0.4,True,./data\s05\reference.jpeg,./data\s05\60cm.jpeg,127.73649954817382,41.19597558024332,213.27901775843247,0.0,0.0,0.0,0.0,0.9996447563171387,362,483,171.33946228027344,136.85764313507505,49.05445531198591,90.76756157166531,0.0,0.0,0.0,0.0,0.9996509552001953,385,514,184.638671875,0.55416,1.3854,-0.15416,63.0,8.456,True,False,False,
s05,45,4.0,0.4,True,./data\s05\reference.jpeg,./data\s05\45cm.jpeg,127.73649954817382,41.19597558024332,213.27901775843247,0.0,0.0,0.0,0.0,0.9996447563171387,362,483,171.33946228027344,138.29214354509864,51.80568841244786,163.52268085345534,5.3160218644852216e-05,0.00625,0.004375,0.0053125,0.999576985836029,486,658,229.3796844482422,0.565888,1.4147,-0.165888,61.69,4.202,True,False,False,
s05,30,9.0,0.4,True,./data\s05\reference.jpeg,./data\s05\30cm.jpeg,127.73649954817382,41.19597558024332,213.27901775843247,0.0,0.0,0.0,0.0,0.9996447563171387,362,483,171.33946228027344,137.0279193184328,56.88877400352682,135.32428866228943,0.00012531112402511862,0.006875,0.01125,0.0090625,0.9964918494224548,677,943,312.23046875,0.587696,1.4692,-0.187696,59.35,3.603,True,False,False,
s05,15,36.0,0.4,True,./data\s05\reference.jpeg,./data\s05\15cm.jpeg,127.73649954817382,41.19597558024332,213.27901775843247,0.0,0.0,0.0,0.0,0.9996447563171387,362,483,171.33946228027344,152.9338182834164,53.26594360044381,189.0198163766055,0.00019042107171307452,0.063125,0.056875,0.06,0.999404788017273,941,1278,448.39703369140625,0.539319,1.3483,-0.139319,64.68,3.931,True,False,False,
s06,135,0.4444,0.4,True,./data\s06\reference.jpeg,./data\s06\135cm.jpeg,129.82382530284102,36.20287781441045,26.119032281965247,0.0,0.0,0.0,0.0,0.9992532134056091,449,615,212.5249481201172,125.82692678584675,41.27364520742396,168.89622861113295,2.9671389362806914e-05,0.00125,0.0,0.000625,0.9990031123161316,221,305,103.19583129882812,0.676201,1.6905,-0.276201,51.14,2.907,True,False,False,
s06,120,0.5625,0.4,True,./data\s06\reference.jpeg,./data\s06\120cm.jpeg,129.82382530284102,36.20287781441045,26.119032281965247,0.0,0.0,0.0,0.0,0.9992532134056091,449,615,212.5249481201172,136.63645161290322,40.43880480371209,81.81694560884708,0.0,0.0,0.0,0.0,0.9992213249206543,248,350,115.64463806152344,0.664674,1.6617,-0.264674,52.08,3.004,True,False,False,
